AQ1,AQ2,AQ3,AQ4,AOT1,AOT2,AT,HQ1,HQ2,HQ3,HQ4,HOT1,HOT2,HT
29,34,25,29,0,0,117,24,39,35,28,0,0,126
22,30,19,38,0,0,109,25,34,32,32,0,0,123
28,27,28,26,0,0,109,17,40,34,22,0,0,113
36,24,27,27,0,0,114,25,27,25,30,0,0,107
20,30,30,27,0,0,107,26,33,25,33,0,0,117
32,26,40,32,0,0,130,14,36,28,30,0,0,108
23,23,33,29,4,0,112,25,36,24,23,7,0,115
28,31,37,20,0,0,116,33,26,27,22,0,0,108
22,35,27,21,0,0,105,28,23,25,32,0,0,108
22,30,35,21,0,0,108,35,30,22,28,0,0,115
38,30,30,31,0,0,129,22,25,28,27,0,0,102
30,23,27,22,0,0,102,37,38,19,29,0,0,123
32,30,19,24,0,0,105,24,21,31,31,0,0,107
32,19,33,31,0,0,115,23,32,29,24,0,0,108
30,17,26,17,0,0,90,24,21,18,25,0,0,88
35,21,29,18,0,0,103,23,33,21,20,0,0,97
35,26,32,31,0,0,124,24,27,34,27,0,0,112
36,34,32,35,0,0,137,26,29,30,49,0,0,134
30,20,24,26,0,0,100,26,30,21,25,0,0,102
27,27,27,17,0,0,98,19,31,30,28,0,0,108
24,28,27,26,0,0,105,28,21,29,31,0,0,109
30,29,30,22,0,0,111,22,29,26,27,0,0,104
20,32,29,25,0,0,106,30,42,31,27,0,0,130
26,36,33,34,0,0,129,32,38,30,22,0,0,122
26,29,33,32,12,0,132,41,23,23,33,6,0,126
40,30,28,30,0,0,128,34,18,36,35,0,0,123
28,25,26,23,9,0,111,25,22,28,27,11,0,113
19,35,31,29,0,0,114,25,26,26,28,0,0,105
35,21,23,36,0,0,115,25,27,36,36,0,0,124
36,32,31,27,0,0,126,33,35,26,26,0,0,120
34,36,23,35,0,0,128,25,29,25,17,0,0,96
33,17,33,26,0,0,109,38,33,21,20,0,0,112
23,25,31,26,0,0,105,41,26,31,27,0,0,125
17,19,35,25,0,0,96,39,25,35,38,0,0,137
29,26,30,32,0,0,117,28,27,33,34,0,0,122
29,23,34,25,0,0,111,26,29,25,29,0,0,109
32,23,23,28,0,0,106,24,24,35,21,0,0,104
22,37,45,22,0,0,126,30,25,29,25,0,0,109
31,20,25,27,4,0,107,30,27,26,20,14,0,117
26,37,30,17,12,0,122,24,29,31,26,11,0,121
31,22,29,34,0,0,116,18,26,30,32,0,0,106
36,35,23,31,0,0,125,39,50,24,17,0,0,130
33,28,25,26,0,0,112,18,23,31,23,0,0,95
23,23,30,30,0,0,106,33,31,26,30,0,0,120
27,21,23,27,0,0,98,23,20,33,14,0,0,90
28,31,23,20,0,0,102,34,31,31,19,0,0,115
39,15,25,23,0,0,102,30,35,35,20,0,0,120
18,27,28,35,0,0,108,21,30,26,37,0,0,114
34,35,28,27,0,0,124,39,25,45,25,0,0,134
39,28,36,12,0,0,115,28,29,14,35,0,0,106
31,30,25,24,0,0,110,23,32,44,36,0,0,135
25,24,26,24,0,0,99,28,28,29,35,0,0,120
31,33,25,22,0,0,111,40,26,21,26,0,0,113
18,25,25,26,0,0,94,23,26,35,24,0,0,108
29,37,20,19,0,0,105,37,35,33,29,0,0,134
24,26,19,23,0,0,92,30,24,19,30,0,0,103
36,26,27,29,0,0,118,32,29,28,24,0,0,113
20,35,21,23,0,0,99,25,18,35,32,0,0,110
30,32,28,32,9,0,131,32,37,29,24,12,0,134
27,26,26,30,0,0,109,35,28,26,30,0,0,119
27,30,36,16,0,0,109,38,38,27,21,0,0,124
28,25,41,28,0,0,122,39,29,34,32,0,0,134
21,28,26,26,0,0,101,22,39,28,20,0,0,109
22,32,17,28,0,0,99,26,28,32,24,0,0,110
28,33,33,25,0,0,119,31,25,25,17,0,0,98
30,31,29,22,17,0,129,23,36,25,28,13,0,125
24,36,27,23,0,0,110,34,19,36,29,0,0,118
30,29,28,23,0,0,110,31,32,29,31,0,0,123
32,31,31,31,0,0,125,28,28,27,27,0,0,110
35,34,37,30,0,0,136,29,38,27,18,0,0,112
19,11,23,40,0,0,93,22,29,31,31,0,0,113
33,29,33,19,18,0,132,34,41,24,15,9,0,123
28,37,16,31,0,0,112,26,22,22,20,0,0,90
36,39,26,26,0,0,127,28,32,30,27,0,0,117
24,29,32,23,0,0,108,26,33,37,23,0,0,119
25,27,23,27,0,0,102,28,24,26,33,0,0,111
29,31,34,30,0,0,124,36,26,32,35,0,0,129
25,25,28,23,0,0,101,35,28,26,28,0,0,117
27,25,31,28,0,0,111,21,36,36,31,0,0,124
23,35,24,29,0,0,111,32,37,27,29,0,0,125
23,26,33,31,0,0,113,32,39,19,29,0,0,119
23,27,33,24,6,0,113,34,28,18,27,13,0,120
26,37,29,33,0,0,125,26,36,28,26,0,0,116
37,27,26,24,0,0,114,22,34,31,22,0,0,109
30,21,33,31,0,0,115,32,27,32,32,0,0,123
27,19,26,27,18,0,117,25,26,20,28,12,0,111
30,24,37,32,0,0,123,24,38,33,29,0,0,124
18,34,26,34,0,0,112,25,27,15,24,0,0,91
15,32,21,26,0,0,94,34,24,29,25,0,0,112
30,29,34,15,0,0,108,35,27,22,37,0,0,121
37,18,36,23,0,0,114,29,34,37,28,0,0,128
23,24,23,28,0,0,98,26,31,28,22,0,0,107
34,26,23,22,0,0,105,29,31,28,26,0,0,114
24,32,30,23,0,0,109,29,36,25,34,0,0,124
31,20,34,25,0,0,110,26,29,38,28,0,0,121
24,28,37,26,0,0,115,34,33,18,23,0,0,108
30,22,34,32,0,0,118,28,24,21,38,0,0,111
18,36,31,24,0,0,109,33,28,31,24,0,0,116
28,25,27,29,0,0,109,34,30,31,44,0,0,139
23,29,25,31,0,0,108,34,26,28,22,0,0,110
26,18,30,31,0,0,105,23,38,36,24,0,0,121
23,29,24,17,0,0,93,30,21,22,22,0,0,95
25,27,25,31,0,0,108,27,31,22,19,0,0,99
24,32,38,15,0,0,109,33,25,28,30,0,0,116
32,34,22,20,0,0,108,33,30,22,31,0,0,116
20,27,26,34,0,0,107,24,30,30,32,0,0,116
31,26,34,30,0,0,121,25,26,39,21,0,0,111
27,29,20,31,6,0,113,35,15,33,24,7,0,114
32,19,25,31,0,0,107,33,20,24,33,0,0,110
21,36,32,23,0,0,112,32,33,10,24,0,0,99
26,26,18,18,0,0,88,27,34,23,22,0,0,106
34,22,30,23,0,0,109,24,29,26,22,0,0,101
26,21,21,23,0,0,91,31,25,29,31,0,0,116
32,32,40,39,0,0,143,31,18,21,30,0,0,100
35,15,28,22,0,0,100,23,24,27,29,0,0,103
30,22,26,33,0,0,111,23,22,27,34,0,0,106
27,17,35,32,6,0,117,23,33,26,29,9,0,120
30,35,33,31,0,0,129,30,23,43,34,0,0,130
42,29,22,29,0,0,122,29,28,38,15,0,0,110
24,33,33,22,0,0,112,21,18,29,20,0,0,88
29,21,27,22,0,0,99,28,34,18,21,0,0,101
21,37,16,32,0,0,106,22,31,30,21,0,0,104
38,31,27,32,0,0,128,28,29,13,16,0,0,86
31,26,30,32,0,0,119,26,37,30,30,0,0,123
24,23,22,30,0,0,99,41,30,33,26,0,0,130
28,26,28,31,0,0,113,18,40,28,20,0,0,106
29,28,24,29,0,0,110,31,31,34,15,0,0,111
27,27,25,26,0,0,105,26,35,27,26,0,0,114
34,27,34,20,0,0,115,26,28,30,18,0,0,102
25,34,27,22,0,0,108,28,21,31,26,0,0,106
40,35,25,30,0,0,130,34,28,33,21,0,0,116
25,22,36,23,20,0,126,33,32,12,29,17,0,123
30,22,17,29,0,0,98,21,23,26,24,0,0,94
28,24,33,24,12,0,121,29,31,28,21,15,0,124
32,35,34,32,0,0,133,29,37,30,22,0,0,118
34,19,25,16,0,0,94,34,33,26,15,0,0,108
34,15,34,34,0,0,117,40,28,35,26,0,0,129
27,24,25,25,0,0,101,40,30,29,27,0,0,126
26,14,21,21,0,0,82,35,26,23,18,0,0,102
30,28,29,27,0,0,114,36,28,16,20,0,0,100
25,18,31,23,0,0,97,24,33,24,22,0,0,103
