Team,Pace
Boston Celtics,98.5
Philadelphia 76ers,96.9
New York Knicks,97.1
Brooklyn Nets,98.3
Toronto Raptors,97.1
Denver Nuggets,98.1
Minnesota Timberwolves,101.0
Oklahoma City Thunder,101.1
Utah Jazz,100.5
Portland Trail Blazers,98.6
Milwaukee Bucks,100.5
Cleveland Cavaliers,95.7
Chicago Bulls,98.5
Indiana Pacers,101.1
Detroit Pistons,99.0
Sacramento Kings,100.3
Phoenix Suns,98.2
Golden State Warriors,101.6
Los Angeles Clippers,98.0
Los Angeles Lakers,101.3
Miami Heat,96.3
Atlanta Hawks,100.7
Washington Wizards,98.6
Orlando Magic,99.3
Charlotte Hornets,100.8
Memphis Grizzlies,101.1
New Orleans Pelicans,99.1
Dallas Mavericks,96.6
Houston Rockets,99.0
San Antonio Spurs,101.6
